Provincia,Tipo de Parto,Rango de Edad,Cantidad,Año
Sánchez Ramírez,Cesarea,15-19,202,2021
Azua,Cesarea,15-19,214,2022
Azua,Cesarea,Menor de 15,13,2022
Azua,Vaginal,15-19,396,2022
Azua,Vaginal,Menor de 15,14,2022
Bahoruco,Cesarea,15-19,192,2022
Bahoruco,Cesarea,Menor de 15,8,2022
Bahoruco,Vaginal,15-19,170,2022
Bahoruco,Vaginal,Menor de 15,6,2022
Barahona,Cesarea,15-19,347,2022
Barahona,Cesarea,Menor de 15,24,2022
Barahona,Vaginal,15-19,467,2022
Barahona,Vaginal,Menor de 15,28,2022
Dajabón,Cesarea,15-19,46,2022
Dajabón,Cesarea,Menor de 15,0,2022
Dajabón,Vaginal,15-19,113,2022
Dajabón,Vaginal,Menor de 15,11,2022
Distrito Nacional,Cesarea,15-19,1247,2022
Distrito Nacional,Cesarea,Menor de 15,39,2022
Distrito Nacional,Vaginal,15-19,1210,2022
Distrito Nacional,Vaginal,Menor de 15,35,2022
Duarte,Cesarea,15-19,278,2022
Duarte,Cesarea,Menor de 15,18,2022
Duarte,Vaginal,15-19,209,2022
Duarte,Vaginal,Menor de 15,11,2022
El Seibo,Cesarea,15-19,124,2022
El Seibo,Cesarea,Menor de 15,8,2022
El Seibo,Vaginal,15-19,106,2022
El Seibo,Vaginal,Menor de 15,1,2022
Elías Piña,Cesarea,15-19,65,2022
Elías Piña,Cesarea,Menor de 15,0,2022
Elías Piña,Vaginal,15-19,203,2022
Elías Piña,Vaginal,Menor de 15,6,2022
Espaillat,Cesarea,15-19,179,2022
Espaillat,Cesarea,Menor de 15,4,2022
Espaillat,Vaginal,15-19,180,2022
Espaillat,Vaginal,Menor de 15,2,2022
Hato Mayor,Cesarea,15-19,71,2022
Hato Mayor,Cesarea,Menor de 15,1,2022
Hato Mayor,Vaginal,15-19,111,2022
Hato Mayor,Vaginal,Menor de 15,2,2022
Hermanas Mirabal,Cesarea,15-19,86,2022
Hermanas Mirabal,Cesarea,Menor de 15,5,2022
Hermanas Mirabal,Vaginal,15-19,37,2022
Hermanas Mirabal,Vaginal,Menor de 15,2,2022
Independencia,Cesarea,15-19,21,2022
Independencia,Cesarea,Menor de 15,0,2022
Independencia,Vaginal,15-19,80,2022
Independencia,Vaginal,Menor de 15,1,2022
La Altagracia,Cesarea,15-19,272,2022
La Altagracia,Cesarea,Menor de 15,15,2022
La Altagracia,Vaginal,15-19,541,2022
La Altagracia,Vaginal,Menor de 15,20,2022
La Romana,Cesarea,15-19,194,2022
La Romana,Cesarea,Menor de 15,5,2022
La Romana,Vaginal,15-19,417,2022
La Romana,Vaginal,Menor de 15,18,2022
La Vega,Cesarea,15-19,369,2022
La Vega,Cesarea,Menor de 15,19,2022
La Vega,Vaginal,15-19,386,2022
La Vega,Vaginal,Menor de 15,16,2022
María Trinidad Sánchez,Cesarea,15-19,204,2022
María Trinidad Sánchez,Cesarea,Menor de 15,16,2022
María Trinidad Sánchez,Vaginal,15-19,118,2022
María Trinidad Sánchez,Vaginal,Menor de 15,2,2022
Monseñor Nouel,Cesarea,15-19,189,2022
Monseñor Nouel,Cesarea,Menor de 15,14,2022
Monseñor Nouel,Vaginal,15-19,158,2022
Monseñor Nouel,Vaginal,Menor de 15,5,2022
Monte Cristi,Cesarea,15-19,143,2022
Monte Cristi,Cesarea,Menor de 15,11,2022
Monte Cristi,Vaginal,15-19,180,2022
Monte Cristi,Vaginal,Menor de 15,7,2022
Monte Plata,Cesarea,15-19,201,2022
Monte Plata,Cesarea,Menor de 15,7,2022
Monte Plata,Vaginal,15-19,301,2022
Monte Plata,Vaginal,Menor de 15,12,2022
Pedernales,Cesarea,15-19,80,2022
Pedernales,Cesarea,Menor de 15,3,2022
Pedernales,Vaginal,15-19,130,2022
Pedernales,Vaginal,Menor de 15,4,2022
Peravia,Cesarea,15-19,263,2022
Peravia,Cesarea,Menor de 15,13,2022
Peravia,Vaginal,15-19,358,2022
Peravia,Vaginal,Menor de 15,8,2022
Puerto Plata,Cesarea,15-19,237,2022
Puerto Plata,Cesarea,Menor de 15,13,2022
Puerto Plata,Vaginal,15-19,408,2022
Puerto Plata,Vaginal,Menor de 15,16,2022
Samaná,Cesarea,15-19,80,2022
Samaná,Cesarea,Menor de 15,2,2022
Samaná,Vaginal,15-19,88,2022
Samaná,Vaginal,Menor de 15,0,2022
San Cristóbal,Cesarea,15-19,538,2022
San Cristóbal,Cesarea,Menor de 15,19,2022
San Cristóbal,Vaginal,15-19,887,2022
San Cristóbal,Vaginal,Menor de 15,28,2022
San José De Ocoa,Cesarea,15-19,75,2022
San José De Ocoa,Cesarea,Menor de 15,1,2022
San José De Ocoa,Vaginal,15-19,96,2022
San José De Ocoa,Vaginal,Menor de 15,3,2022
San Juan,Cesarea,15-19,286,2022
San Juan,Cesarea,Menor de 15,13,2022
San Juan,Vaginal,15-19,572,2022
San Juan,Vaginal,Menor de 15,28,2022
San Pedro De Macorís,Cesarea,15-19,242,2022
